gameid;tournament;gametype;teamA;teamB;resultA;resultB;addinfo;teamA_age;teamB_age;teamA_def_val;teamB_def_val;teamA_off_val;teamB_off_val;teamA_frag;teamB_frag
2289743;AC13;Finale;Nigeria;Burkina Faso;1;0;;23.954545454545453;26.454545454545453;2685714.285714286;579166.6666666666;4668750.0;1665000.0;19;19
2289742;AC13;Spiel um Platz Drei;Mali;Ghana;3;1;;25.38095238095238;24.142857142857142;1261538.4615384615;1245833.3333333333;2037500.0;4527777.777777778;20;19
2289691;AC13;Halbfinale;Mali;Nigeria;1;4;;25.571428571428573;24.0;937500.0;2671428.5714285714;2477777.777777778;5483333.333333333;20;20
2289692;AC13;Halbfinale;Burkina Faso;Ghana;4;3;n.E.;26.40909090909091;24.391304347826086;579166.6666666666;1313333.3333333333;1665000.0;4781250.0;19;20
2289022;AC13;Viertelfinale;Elfenbeinküste;Nigeria;1;2;;27.82608695652174;23.954545454545453;3219230.769230769;2830769.230769231;9765000.0;5483333.333333333;19;19
2289023;AC13;Viertelfinale;Burkina Faso;Togo;1;0;n.V.;26.40909090909091;25.17391304347826;919230.7692307692;620833.3333333334;1294444.4444444445;1577272.7272727273;19;18
2289020;AC13;Viertelfinale;Ghana;Kap Verde;2;0;;24.391304347826086;25.47826086956522;1313333.3333333333;359615.3846153846;4781250.0;1020000.0;20;20
2289021;AC13;Viertelfinale;Südafrika;Mali;2;4;n.E.;26.272727272727273;25.318181818181817;452500.0;1133333.3333333333;700000.0;2020000.0;12;21
2270413;AC13;Gruppe A;Kap Verde;Angola;2;1;;25.47826086956522;25.17391304347826;331250.0;280000.0;990909.0909090909;1300000.0;20;12
2270412;AC13;Gruppe A;Südafrika;Marokko;2;2;;26.217391304347824;25.80952380952381;727500.0;2190000.0;665384.6153846154;3359090.909090909;13;17
2270404;AC13;Gruppe A;Südafrika;Angola;2;0;;26.217391304347824;25.17391304347826;752272.7272727273;289285.71428571426;627083.3333333334;1172222.2222222222;13;12
2270405;AC13;Gruppe A;Marokko;Kap Verde;1;1;;25.608695652173914;25.434782608695652;2137500.0;359615.3846153846;4472727.2727272725;1020000.0;18;20
2270396;AC13;Gruppe A;Südafrika;Kap Verde;0;0;;26.217391304347824;25.434782608695652;697916.6666666666;359615.3846153846;675000.0;1020000.0;13;20
2270397;AC13;Gruppe A;Angola;Marokko;0;0;;25.17391304347826;25.608695652173914;289285.71428571426;2137500.0;1172222.2222222222;4472727.2727272725;12;18
2270415;AC13;Gruppe B;Demokratische-Republik-Kongo;Mali;1;1;;25.347826086956523;25.272727272727273;1209090.9090909092;1107692.3076923077;1477272.7272727273;2144444.4444444445;16;21
2270414;AC13;Gruppe B;Niger;Ghana;0;3;;24.956521739130434;24.5;125000.0;1313333.3333333333;214583.33333333334;5107142.857142857;17;19
2270406;AC13;Gruppe B;Ghana;Mali;1;0;;24.347826086956523;25.17391304347826;1313333.3333333333;1100000.0;4781250.0;2466666.6666666665;20;22
2270407;AC13;Gruppe B;Niger;Demokratische-Republik-Kongo;0;0;;24.956521739130434;25.304347826086957;127272.72727272728;981818.1818181818;220454.54545454544;1477272.7272727273;17;16
2270398;AC13;Gruppe B;Ghana;Demokratische-Republik-Kongo;2;2;;24.347826086956523;25.304347826086957;2592857.1428571427;981818.1818181818;2405555.5555555555;1477272.7272727273;20;16
2270399;AC13;Gruppe B;Mali;Niger;1;0;;25.08695652173913;24.956521739130434;1100000.0;127272.72727272728;2466666.6666666665;220454.54545454544;22;17
2270417;AC13;Gruppe C;Äthiopien;Nigeria;0;2;;24.08695652173913;24.0;75000.0;2921428.5714285714;104166.66666666667;5483333.333333333;8;20
2270416;AC13;Gruppe C;Sambia;Burkina Faso;0;0;;25.91304347826087;26.0;290000.0;655000.0;615384.6153846154;1937500.0;15;20
2270408;AC13;Gruppe C;Sambia;Nigeria;1;1;;25.91304347826087;24.0;290000.0;2807692.3076923075;692307.6923076923;5483333.333333333;15;19
2270409;AC13;Gruppe C;Burkina Faso;Äthiopien;4;0;;26.304347826086957;24.045454545454547;966666.6666666666;75000.0;1659090.9090909092;106818.18181818182;21;8
2270400;AC13;Gruppe C;Sambia;Äthiopien;1;1;;25.91304347826087;24.08695652173913;290000.0;75000.0;692307.6923076923;101923.07692307692;15;8
2270401;AC13;Gruppe C;Nigeria;Burkina Faso;1;1;;24.0;26.304347826086957;2635714.285714286;919230.7692307692;5483333.333333333;1790000.0;20;21
2270419;AC13;Gruppe D;Algerien;Elfenbeinküste;2;2;;26.52173913043478;27.82608695652174;1166666.6666666667;3320833.3333333335;2631818.1818181816;9059090.909090908;21;19
2270418;AC13;Gruppe D;Togo;Tunesien;1;1;;25.130434782608695;25.217391304347824;620833.3333333334;1128571.4285714286;1577272.7272727273;1883333.3333333333;18;14
2270410;AC13;Gruppe D;Elfenbeinküste;Tunesien;3;0;;27.82608695652174;25.045454545454547;3526923.076923077;1128571.4285714286;10165000.0;1931250.0;20;14
2270411;AC13;Gruppe D;Algerien;Togo;0;2;;26.52173913043478;25.130434782608695;1250000.0;620833.3333333334;2827777.777777778;1668181.8181818181;21;18
2270402;AC13;Gruppe D;Elfenbeinküste;Togo;2;1;;27.82608695652174;25.130434782608695;2779166.6666666665;620833.3333333334;10377272.727272727;1668181.8181818181;20;18
2270403;AC13;Gruppe D;Tunesien;Algerien;1;0;;25.318181818181817;26.52173913043478;1200000.0;1250000.0;1894444.4444444445;2827777.777777778;14;21
2533047;AC15;Finale;Elfenbeinküste;Ghana;9;8;n.E.;25.80952380952381;24.434782608695652;1538888.888888889;1838461.5384615385;10208333.333333334;3790000.0;18;23
2533046;AC15;Spiel um Platz Drei;Demokratische-Republik-Kongo;Äquatorialguinea;4;2;n.E.;26.08695652173913;25.095238095238095;1257692.3076923077;100000.0;2210000.0;513888.8888888889;18;18
2532170;AC15;Halbfinale;Ghana;Äquatorialguinea;3;0;;24.391304347826086;24.818181818181817;1800000.0;85416.66666666667;3790000.0;487500.0;23;19
2532169;AC15;Halbfinale;Demokratische-Republik-Kongo;Elfenbeinküste;1;3;;26.08695652173913;25.818181818181817;1257692.3076923077;1435000.0;2210000.0;10208333.333333334;18;18
2531005;AC15;Viertelfinale;Ghana;Guinea;3;0;;24.391304347826086;23.727272727272727;1366666.6666666667;290909.0909090909;3900000.0;2004545.4545454546;23;21
2531006;AC15;Viertelfinale;Elfenbeinküste;Algerien;3;1;;25.818181818181817;26.304347826086957;4122727.272727273;2340000.0;8636363.636363637;5425000.0;18;23
2531003;AC15;Viertelfinale;Kongo;Demokratische-Republik-Kongo;2;4;;24.47826086956522;26.043478260869566;513636.36363636365;1257692.3076923077;816666.6666666666;2260000.0;18;18
2531004;AC15;Viertelfinale;Tunesien;Äquatorialguinea;1;2;n.V.;25.52173913043478;24.608695652173914;1421428.5714285714;98076.92307692308;1861111.111111111;470000.0;15;19
2515893;AC15;Gruppe A;Kongo;Burkina Faso;2;1;;24.363636363636363;26.17391304347826;555000.0;1057692.3076923077;816666.6666666666;1450000.0;18;23
2515892;AC15;Gruppe A;Gabun;Äquatorialguinea;0;2;;23.818181818181817;24.954545454545453;915909.0909090909;102272.72727272728;2268181.8181818184;434090.9090909091;21;19
2515885;AC15;Gruppe A;Äquatorialguinea;Burkina Faso;0;0;;24.608695652173914;26.17391304347826;100000.0;1057692.3076923077;434090.9090909091;1380000.0;19;23
2515884;AC15;Gruppe A;Gabun;Kongo;0;1;;23.772727272727273;24.391304347826086;915909.0909090909;505000.0;2268181.8181818184;800000.0;21;18
2515876;AC15;Gruppe A;Äquatorialguinea;Kongo;1;1;;24.608695652173914;24.347826086956523;101785.71428571429;513636.36363636365;505555.55555555556;816666.6666666666;19;18
2515877;AC15;Gruppe A;Burkina Faso;Gabun;0;2;;26.09090909090909;23.73913043478261;1125000.0;906250.0;1380000.0;2268181.8181818184;22;22
2515894;AC15;Gruppe B;Kap Verde;Sambia;0;0;;25.73913043478261;23.714285714285715;695833.3333333334;422500.0;1422727.2727272727;225000.0;20;12
2515895;AC15;Gruppe B;Demokratische-Republik-Kongo;Tunesien;1;1;;25.90909090909091;25.434782608695652;945833.3333333334;1421428.5714285714;2260000.0;1861111.111111111;17;15
2515887;AC15;Gruppe B;Sambia;Tunesien;1;2;;23.727272727272727;25.434782608695652;358333.3333333333;1421428.5714285714;421153.8461538461;1861111.111111111;13;15
2515886;AC15;Gruppe B;Kap Verde;Demokratische-Republik-Kongo;0;0;;25.857142857142858;25.956521739130434;622727.2727272727;1257692.3076923077;1475000.0;2260000.0;18;18
2515878;AC15;Gruppe B;Sambia;Demokratische-Republik-Kongo;1;1;;23.772727272727273;25.91304347826087;397222.22222222225;1257692.3076923077;421153.8461538461;2260000.0;13;18
2515879;AC15;Gruppe B;Tunesien;Kap Verde;1;1;;25.347826086956523;25.73913043478261;1421428.5714285714;622727.2727272727;1861111.111111111;1412500.0;15;20
2515897;AC15;Gruppe C;Senegal;Algerien;0;2;;25.608695652173914;26.217391304347824;2720833.3333333335;2292857.1428571427;6172727.2727272725;5155555.555555556;21;23
2515896;AC15;Gruppe C;Südafrika;Ghana;1;2;;25.476190476190474;24.391304347826086;697727.2727272727;1646153.8461538462;642500.0;3790000.0;14;23
2515889;AC15;Gruppe C;Ghana;Algerien;1;0;;24.391304347826086;26.217391304347824;1200000.0;1700000.0;3825000.0;5440000.0;23;23
2515888;AC15;Gruppe C;Südafrika;Senegal;1;1;;25.818181818181817;25.608695652173914;652272.7272727273;2939285.714285714;697727.2727272727;6822222.222222222;13;21
2515880;AC15;Gruppe C;Ghana;Senegal;1;2;;24.047619047619047;25.608695652173914;1344444.4444444445;2637500.0;3416666.6666666665;6581818.181818182;21;21
2515881;AC15;Gruppe C;Algerien;Südafrika;3;1;;26.217391304347824;25.238095238095237;1757142.857142857;620454.5454545454;5711111.111111111;722500.0;23;14
2515899;AC15;Gruppe D;Guinea;Mali;1;1;;23.727272727272727;26.636363636363637;475000.0;609615.3846153846;1955000.0;1722222.2222222222;21;22
2515898;AC15;Gruppe D;Kamerun;Elfenbeinküste;0;1;;24.043478260869566;25.761904761904763;2783333.3333333335;1535000.0;2893750.0;9681818.181818182;20;18
2515891;AC15;Gruppe D;Elfenbeinküste;Mali;1;1;;25.863636363636363;26.73913043478261;2113636.3636363638;601785.7142857143;9672727.272727273;1694444.4444444445;19;23
2515890;AC15;Gruppe D;Kamerun;Guinea;1;1;;23.818181818181817;23.73913043478261;2960714.285714286;592307.6923076923;2943750.0;1955000.0;19;22
2515882;AC15;Gruppe D;Elfenbeinküste;Guinea;1;1;;26.136363636363637;23.5;2650000.0;558333.3333333334;12611111.111111112;1955000.0;20;21
2515883;AC15;Gruppe D;Mali;Kamerun;1;1;;26.73913043478261;23.772727272727273;601785.7142857143;2353571.4285714286;1694444.4444444445;2943750.0;23;19
2820284;AC17;Finale;Ägypten;Kamerun;1;2;;27.4;24.956521739130434;1607142.857142857;1189285.7142857143;6733333.333333333;2969444.4444444445;14;23
2820283;AC17;Spiel um Platz Drei;Burkina Faso;Ghana;1;0;;25.047619047619047;25.181818181818183;1018750.0;1322727.2727272727;1640625.0;4627272.7272727275;17;21
2818968;AC17;Halbfinale;Kamerun;Ghana;2;0;;24.956521739130434;25.181818181818183;1242307.6923076923;1445833.3333333333;2722500.0;4810000.0;23;21
2818967;AC17;Halbfinale;Burkina Faso;Ägypten;4;5;n.E.;25.136363636363637;27.333333333333332;1065909.0909090908;1050000.0;1402500.0;6266666.666666667;18;12
2817762;AC17;Viertelfinale;Demokratische-Republik-Kongo;Ghana;1;2;;25.5;25.181818181818183;1780000.0;1445833.3333333333;3490000.0;4810000.0;17;21
2817763;AC17;Viertelfinale;Ägypten;Marokko;1;0;;27.238095238095237;26.82608695652174;1076923.076923077;2644444.4444444445;5337500.0;2339285.714285714;14;23
2817760;AC17;Viertelfinale;Burkina Faso;Tunesien;2;0;;25.047619047619047;25.956521739130434;1065909.0909090908;1132142.857142857;1513888.888888889;2061111.111111111;17;13
2817761;AC17;Viertelfinale;Senegal;Kamerun;4;5;n.E.;26.26086956521739;24.956521739130434;5154545.454545454;1192857.142857143;8979166.666666666;2972222.222222222;21;22
2768216;AC17;Gruppe A;Guinea-Bissau;Burkina Faso;0;2;;25.26086956521739;25.047619047619047;243181.81818181818;1093181.8181818181;556250.0;1513888.888888889;19;17
2768215;AC17;Gruppe A;Kamerun;Gabun;0;0;;24.818181818181817;25.3;1233333.3333333333;750000.0;2757500.0;6290000.0;21;20
2768207;AC17;Gruppe A;Gabun;Burkina Faso;1;1;;25.130434782608695;25.347826086956523;1871428.5714285714;1093181.8181818181;5877777.777777778;1511363.6363636365;23;19
2768208;AC17;Gruppe A;Kamerun;Guinea-Bissau;2;1;;24.91304347826087;25.26086956521739;1226923.076923077;231250.0;2757500.0;597727.2727272727;22;19
2768199;AC17;Gruppe A;Gabun;Guinea-Bissau;1;1;;25.130434782608695;25.217391304347824;784615.3846153846;247916.66666666666;6890000.0;579545.4545454546;23;19
2768200;AC17;Gruppe A;Burkina Faso;Kamerun;1;1;;25.347826086956523;24.91304347826087;1025000.0;1380769.2307692308;1420454.5454545454;2607500.0;19;22
