gameid,tournament,gametype,team,teamid,result,age,diff_value_1,diff_value_2,past_result
910204,EM08,Finale,Deutschland,3262,0,26.782608695652176,-13009090.909090906,-0.6365186448217064,1.14011875
910204,EM08,Finale,Spanien,3375,1,26.08695652173913,13009090.909090906,0.38894677236693087,2.8976187499999995
910203,EM08,Halbfinale,Russland,3448,0,25.761904761904763,-22916048.951048948,-2.0732535959332026,0.95
910203,EM08,Halbfinale,Spanien,3375,3,26.08695652173913,22916048.951048948,0.6746119482872199,3.80249375
910200,EM08,Halbfinale,Deutschland,3262,3,26.782608695652176,12141378.066378066,0.5966945548091532,0.95
910200,EM08,Halbfinale,Türkei,3381,2,26.375,-12141378.066378066,-1.4795102866186038,1.902375
910151,EM08,Viertelfinale,Spanien,3375,4,26.043478260869566,6089230.769230768,0.17925724637681162,1.0024934374999999
910151,EM08,Viertelfinale,Italien,3376,2,28.75,-6089230.769230768,-0.21840856417613952,0.047749375000000004
910149,EM08,Viertelfinale,Niederlande,3379,1,27.73913043478261,10711946.386946384,0.4961885018004739,3.8
910149,EM08,Viertelfinale,Russland,3448,3,25.695652173913043,-10711946.386946384,-0.9848693481067929,0.95
910143,EM08,Viertelfinale,Kroatien,3556,2,27.19047619047619,4115989.010989012,0.32083859776859336,1.9475
910143,EM08,Viertelfinale,Türkei,3381,4,25.941176470588236,-4115989.010989012,-0.4724040511054777,1.9
910142,EM08,Viertelfinale,Portugal,3300,2,26.52173913043478,4769930.069930069,0.19299436946495763,1.0948809375
910142,EM08,Viertelfinale,Deutschland,3262,3,26.59090909090909,-4769930.069930069,-0.23914872729822578,2.8523868749999997
88046,EM08,Gruppe A,Türkei,3381,3,26.05,-704469.6969696973,-0.07673961840628518,1.9
88046,EM08,Gruppe A,Tschechien,3445,2,28.391304347826086,704469.6969696973,0.071270358306189,2.09
88045,EM08,Gruppe A,Schweiz,3384,2,25.904761904761905,-17305434.149184152,-2.6032619534463755,0.0
88045,EM08,Gruppe A,Portugal,3300,0,26.52173913043478,17305434.149184152,0.7224736883080232,0.95
88037,EM08,Gruppe A,Tschechien,3445,1,28.391304347826086,-15384230.76923077,-1.6486954371213058,0.95
88037,EM08,Gruppe A,Portugal,3300,3,26.52173913043478,15384230.76923077,0.6224556489262372,0.0
88038,EM08,Gruppe A,Schweiz,3384,1,25.857142857142858,-2417858.391608391,-0.363719205507012,1.9976124999999998
88038,EM08,Gruppe A,Türkei,3381,2,26.38095238095238,2417858.391608391,0.26671121447745993,3.80486875
88029,EM08,Gruppe A,Schweiz,3384,0,25.956521739130434,-2816608.391608391,-0.3869580881469916,0.05225
88029,EM08,Gruppe A,Tschechien,3445,1,28.363636363636363,2816608.391608391,0.27899767949295184,2.945
88030,EM08,Gruppe A,Portugal,3300,2,26.181818181818183,15999242.424242422,0.6307191494445108,1.9475
88030,EM08,Gruppe A,Türkei,3381,0,26.391304347826086,-15999242.424242422,-1.7079660331581072,0.0
88048,EM08,Gruppe B,Polen,3442,0,26.681818181818183,-6964880.952380953,-1.3632762437376211,0.952375
88048,EM08,Gruppe B,Kroatien,3556,1,27.17391304347826,6964880.952380953,0.5768586077696707,0.009500000000000001
88047,EM08,Gruppe B,Österreich,3383,0,26.318181818181817,-16508106.060606059,-4.2665792101501765,0.05236875
88047,EM08,Gruppe B,Deutschland,3262,1,27.19047619047619,16508106.060606059,0.8101234292512454,3.0073437499999995
88039,EM08,Gruppe B,Kroatien,3556,2,27.17391304347826,-7976298.7012987025,-0.6447354608440059,1.00474375
88039,EM08,Gruppe B,Deutschland,3262,1,26.782608695652176,7976298.7012987025,0.3919994893970098,1.9477375
88040,EM08,Gruppe B,Österreich,3383,1,26.0,-1317628.205128205,-0.33930340046219865,1.9569999999999999
88040,EM08,Gruppe B,Polen,3442,1,26.857142857142858,1317628.205128205,0.253343193443027,2.9996249999999995
88031,EM08,Gruppe B,Österreich,3383,0,25.956521739130434,-8551895.604395604,-2.255864512903015,0.952375
88031,EM08,Gruppe B,Kroatien,3556,1,27.17391304347826,8551895.604395604,0.6928619123931623,3.8522499999999997
88032,EM08,Gruppe B,Deutschland,3262,2,26.73913043478261,15142727.272727273,0.7441974757064671,1.045
88032,EM08,Gruppe B,Polen,3442,0,26.636363636363637,-15142727.272727273,-2.909265566326085,0.0
88050,EM08,Gruppe C,Frankreich,3377,0,27.363636363636363,-404545.4545454532,-0.013340328262009926,0.15226185859375
88050,EM08,Gruppe C,Italien,3376,2,28.695652173913043,404545.4545454532,0.013164706752459066,0.06188715625
88049,EM08,Gruppe C,Niederlande,3379,2,27.73913043478261,14702691.197691197,0.6444062511858533,0.004999375
88049,EM08,Gruppe C,Rumänien,3447,0,26.428571428571427,-14702691.197691197,-1.812197917806075,0.9500059375
88041,EM08,Gruppe C,Italien,3376,1,28.695652173913043,22713712.12121212,0.7391489781327811,1.0523624999999999
88041,EM08,Gruppe C,Rumänien,3447,1,26.681818181818183,-22713712.12121212,-2.8336058369325863,0.0
88042,EM08,Gruppe C,Niederlande,3379,4,27.695652173913043,-8736538.461538464,-0.40468555139853923,0.14534999999999998
88042,EM08,Gruppe C,Frankreich,3377,1,27.363636363636363,8736538.461538464,0.2880968989790095,0.1003496875
88033,EM08,Gruppe C,Rumänien,3447,0,26.47826086956522,-22381439.393939395,-2.817557579514568,0.0475
88033,EM08,Gruppe C,Frankreich,3377,0,27.318181818181817,22381439.393939395,0.738052412001299,1.0925
88034,EM08,Gruppe C,Niederlande,3379,3,27.863636363636363,-9808760.683760684,-0.4734817229144319,0.9974999999999999
88034,EM08,Gruppe C,Italien,3376,0,28.695652173913043,9808760.683760684,0.3213353213353214,2.9924999999999997
